dt_iso,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,wind_gust,clouds_all,rain_1h,rain_3h,snow_1h,snow_3h,weather_desc_broken clouds,weather_desc_few clouds,weather_desc_fog,weather_desc_haze,weather_desc_heavy intensity rain,weather_desc_heavy snow,weather_desc_light rain,weather_desc_light snow,weather_desc_mist,weather_desc_moderate rain,weather_desc_overcast clouds,weather_desc_scattered clouds,weather_desc_sky is clear,weather_desc_snow,weather_desc_thunderstorm,weather_desc_thunderstorm with heavy rain,weather_desc_thunderstorm with light rain,weather_desc_thunderstorm with rain,weather_desc_very heavy rain
2022-01-04 03:00:00 +0000 UTC,24.3,23.95,25.95,1023,59,8.05,350,18.41,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-04 04:00:00 +0000 UTC,23.79,22.95,25.21,1024,62,18.99,330,25.01,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-04 05:00:00 +0000 UTC,22.82,21.54,24.98,1024,63,14.0,335,24.0,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-04 06:00:00 +0000 UTC,22.64,21.54,24.22,1025,60,15.01,305,24.0,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-04 07:00:00 +0000 UTC,21.81,20.95,23.22,1026,57,11.99,304,25.01,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-04 08:00:00 +0000 UTC,21.22,19.74,22.98,1027,58,10.0,292,15.01,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-04 09:00:00 +0000 UTC,21.07,19.74,22.98,1027,58,13.0,300,21.99,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-04 10:00:00 +0000 UTC,20.71,19.74,22.21,1028,60,15.01,290,21.99,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-04 11:00:00 +0000 UTC,20.34,19.74,21.97,1029,63,14.0,311,20.0,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-04 12:00:00 +0000 UTC,20.68,19.74,21.97,1030,64,11.5,290,17.27,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-04 13:00:00 +0000 UTC,20.89,19.74,22.21,1031,66,5.99,316,8.99,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-04 14:00:00 +0000 UTC,21.79,20.95,24.22,1031,63,5.01,313,11.01,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
